fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6
8,0.26,0.36,2,0.054,30,121,0.992,3.09,0.72,11.6,7
7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,8
8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,4
6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5,5
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7
5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13,8
6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5,3
6.3,0.21,0.4,1.7,0.031,48,134,0.9917,3.42,0.49,11.5,6
6.7,0.325,0.82,1.2,0.152,49,120,0.99312,2.99,0.38,9.2,5
6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8
7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6
7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6
